objectid,title,filename,format,date,time,commonname,scientificname,season,month
2023_05_07_harlequin_001,Three Harlequins Tiered,2023_05_07_harlequin_001.jpg,image/jpeg,,17:15,Harlequin,,Spring,May
2023_05_07_harlequin_002,Three Harlequins Tiered - Close Up,2023_05_07_harlequin_002.jpg,image/jpeg,,17:15,Harlequin,,Spring,May
2023_05_07_harlequin_003,Harlequins on the Sidewalk - Close Up,2023_05_07_harlequin_003.jpg,image/jpeg,,17:15,Harlequin,,Spring,May
2023_05_07_harlequin_004,Harlequins on the Sidewalk,2023_05_07_harlequin_004.jpg,image/jpeg,,17:15,Harlequin,,Spring,May
2023_05_12_ladybug_001,Ladybug on a Tree Leaf,2023_05_12_ladybug_001.jpg,image/jpeg,,15:50,,,Spring,May
2023_05_12_ladybug_002,Ladybug on a Branch,2023_05_12_ladybug_002.jpg,image/jpeg,,15:50,,,Spring,May
2023_05_12_ladybug_003,Ladybug on a Branch - Close Up,2023_05_12_ladybug_003.jpg,image/jpeg,,15:50,,,Spring,May
2023_05_13_californialilac_001,California Lilac,2023_05_13_californialilac_001.jpg,image/jpeg,,20:45,California Lilac,,Spring,May
2023_05_21_allium_001,Pair of Alliums - Close Up,2023_05_21_allium_001.jpg,image/jpeg,,12:40,Allium,,Spring,May
2023_05_21_allium_002,Pair of Alliums,2023_05_21_allium_002.jpg,image/jpeg,,12:40,Allium,,Spring,May
2023_05_24_pansy_001,Mini Pansy in a Planter,2023_05_24_pansy_001.jpg,image/jpeg,,16:45,Pansy,,Spring,May
2023_05_24_pansy_002,Mini Pansy in a Planter - Close Up,2023_05_24_pansy_002.jpg,image/jpeg,,16:45,Pansy,,Spring,May
2023_05_24_rockrose_001,Crinkly Rock Rose,2023_05_24_rockrose_001.jpg,image/jpeg,,20:00,Rock Rose,,Spring,May
2023_05_24_rockrose_002,Crinkly Rock Rose - Close Up,2023_05_24_rockrose_002.jpg,image/jpeg,,20:00,Rock Rose,,Spring,May
2023_05_24_rose_001,Yellow Rose by the Road,2023_05_24_rose_001.jpg,image/jpeg,,16:20,Yellow Rose,,Spring,May
